categorie,nom_contractant ,description,montant_transaction,arrondissement,numero_decision-resolution,numero_acte_notarie,
"Demande d'intervention, de permission et d'autorisation d'effectuer des travaux",Ministère Des Transports Et De La Mobilité Durable (Mtmd),"Approuver un projet d’entente bilatérale entre la Ville et le ministère des Transports et de la Mobilité durable (MTMD), lequel permet à la Ville d'effectuer des travaux de construction d’un collecteur pluvial et sanitaire sur une partie du lot 1 251 244 du cadastre du Québec, et ce, malgré l’imposition d’un avis de réserve sur une partie dudit lot par le MTMD. N/Réf. : 31H12-005-4075-01 / Mandat : 23-0507-T","0,00 $",Montréal-Est,CE23 1869,non applicable,
Droit de préemption,Alberto Neyra,"Exercer le droit de préemption pour acquérir de Monsieur Alberto Neyra, à des fins de logement social, un terrain d’une superficie de 374,6 mètres carrés, connu et désigné comme étant le lot 2 167 490 du cadastre du Québec, sur lequel est érigé le bâtiment sis au 7120 rue D’Iberville, dans l’arrondissement de Villeray–Saint-Michel–Parc-Extension,  pour le prix de 1 630 000 $ en plus des taxes applicables, le cas échéant. Autoriser une dépense maximale pour la sécurisation de l’immeuble de 7 500 $ toutes taxes comprises. Amender l’annexe 1 de la convention de gestion conclue avec la SHDM pour y ajouter l’immeuble. Réf. : 31H12-005-1864-02","1 630 000,00 $",Villeray - Saint-Michel - Parc-Extension,CE23 1601,28388257,
Droit de préemption,9262-1192 Québec Inc,"Exercer le droit de préemption pour acquérir de 9262-1192 Québec inc., à des fins de logement social, un immeuble situé au 2023-2025 rue Wellington, dans l'arrondissement du Sud-Ouest, connu et désigné comme étant le lot 1 381 820 du cadastre du Québec, d'une superficie de 211,1 m², au prix de 590 000 $, plus les taxes applicables le cas échéant. Autoriser une dépense pour la détention de l'immeuble de 7 950 $ net de taxes pour l'année 2023 et de 4 450 $ net de taxes pour chacune des années subséquentes et, ce, jusqu'à la revente de l’immeuble. N/Réf. : 31H05-005-7471-08/ Mandat 23-0423-T","590 000,00 $",Le Sud-Ouest,CE23 1443,28361026,
Droit de préemption,9595988 Canada Inc.,"Exercer le droit de préemption pour acquérir de 9595988 Canada Inc., à des fins de logement sociaux, l’immeuble connu et désigné comme étant le lot 2 249 855 du cadastre du Québec, situé au 7335 rue du Mile End, dans l’arrondissement de Villeray–Saint-Michel–Parc-Extension, d’une superficie de 1 005,5 mètres carrés, pour le prix de 2 350 000 $ en plus des taxes applicables, le cas échéant. Pour l’année 2023, autoriser une dépense maximale pour la détention de l’immeuble de 13 230 $, net de taxes et de 39 670 $ net de taxes pour chacune des années subséquentes et ce, jusqu’à la revente de l’immeuble. N/Réf. : 31H12-005-1162-03/Mandat 23-0399-T","2 350 000,00 $",Villeray - Saint-Michel - Parc-Extension,CE23 1391,28361083,
Droit de préemption,Parc Olympique Westmont Inc.,"Exercer le droit de préemption pour acquérir de Parc Olympique Westmount inc., à des fins de logement abordable et social, l’immeuble connu et désigné comme étant le lot 1 879 184 du cadastre du Québec, situé au 1451-1455 rue Sicard, dans l’arrondissement de Mercier - Hochelaga-Maisonneuve, d’une superficie de 427,3 mètres carrés, pour le prix de 1 475 000 $ en plus des taxes applicables, le cas échéant. N/Réf. : 31H12-005-1875-08/Mandat 23-0372-T.","1 475 000,00 $",Mercier - Hochelaga-Maisonneuve,CE23 1236,23001732,
Droit de préemption,Viken Gulumian,"Exercer le droit de préemption pour acquérir de Viken Gulumian, à des fins de logement social, un immeuble sur lequel est érigé la bâtisse sise au 2661, rue du Centre, dans l’arrondissement du Sud-Ouest, correspondant au lot 1 380 819 du Cadastre du Québec, d’une superficie totale de 249,3 m², pour le prix de 1 385 000 $, plus les taxes applicables, le cas échéant. Autoriser une dépense maximale pour la sécurisation de l’immeuble de 150 000 $, toutes taxes comprises.  N/Ref : 31H05-005-7369-08. Mandat : 23-0312-T","1 385 000,00 $",Le Sud-Ouest,CE23 1130,28220186,
Emphytéose - modification/création,Office Municipal D’Habitation De Montréal,"Approbation d'un projet d’acte de prolongation d’emphytéose entre l’Office municipal d’habitation de Montréal et la Ville de Montréal, afin de prolonger de 2 ans la durée de l’emphytéose consentie en faveur de la Ville sur le terrain connu comme étant les lots 1 247 150 et 1 247 151 du cadastre du Québec, d’une superficie de 118 838 pi², soit jusqu’au 14 juin 2025, pour les fins d’un parc, soit le parc Michel-Ménard, la rente annuelle pour la période de prolongation sera de 1 $, plus les taxes applicables, le cas échéant - Bâtiment 9143  N/Réf.: 31H05-005-6452-01/Mandat 23-0278-T","0,00 $",Lachine,CA23 19 0133,28086798,
Vente de terrain résiduel et de partie de ruelle selon l'encadrement,Franco Scarola Et Loretta Mastromattéo,"Approuver le projet d'acte par lequel la Ville de Montréal vend à Franco Scarola et Loretta Mastromattéo, aux fins d'assemblage résidentiel, un résidu de terrain situé au sud-ouest de la 4e Avenue et au sud-est de la 4e Rue, dans l'arrondissement de Rivière-des-Prairies–Pointe-aux-Trembles, d'une superficie de 260,9 m², pour le prix de 19 200 $, plus les taxes applicables.","19 200,00 $",Rivière-des-Prairies - Pointe-aux-Trembles,CM12 1437,28501180,
Acquisition de gré à gré - sans bâtiment,Syndics Apostoliques Des Frères Mineurs Ou Franciscains De La Province Saint-Joseph Du Canada,"Approuver un projet d'acte de cession par lequel la Ville de Montréal acquiert de Syndics apostoliques des frères mineurs ou franciscains de la province Saint-Joseph du Canada un terrain étant le lot 6 008 185 du cadastre du Québec, circonscription foncière de Montréal, d'une superficie de 1 807,3 m², situé au sud du boulevard René-Lévesque Ouest, côté ouest de la rue du Fort, dans l'arrondissement Ville-Marie, à des fins de parc, sans contrepartie financière.","0,00 $",Ville-Marie,CA23 240190,28195096,
Droit de préemption,Rfa Verdun Limited Partnership,"Exercer le droit de préemption pour acquérir de RFA Verdun Limited Partnership, à des fins de logement abordable, un terrain d’une superficie de 5 642 mètres carrés, sur lequel est érigé le bâtiment sis au 1050-1150 rue Gordon, dans l’arrondissement de Verdun, connu et désigné comme étant le lot 1 185 543 du cadastre du Québec, pour le prix de 8 100 000 $ en plus des taxes applicables, le cas échéant. Autoriser à partir de 2024, un transfert budgétaire en provenance du Service de l'Habitation vers le Service de la gestion et planification des immeubles d'un montant de 198 000 $ afin de couvrir les frais de détention en lien avec cette acquisition, et ce, jusqu'au transfert à un organisme. Réf. : 31H05-005-6868-03","8 100 000,00 $",Verdun,CE23 0921,28181001,
