Catégorie,cocontractant ,Description,montant_transaction,arrondissement,numero_decision-resolution,no_acte_notarie,date_signature
Acquisition de servitude,Commerce d'Automobiles GPA inc. / GPA Motor Trade inc,"Approuver un projet d'acte par lequel Commerce d'Automobiles GPA inc. / GPA Motor Trade inc. accorde, en faveur de la ville de Montréal, une servitude réelle et perpétuelle d'utilités publiques pour régulariser la présence d'une borne-fontaine ainsi qu'une tolérance d'empiètement pour le trottoir, dont les assiettes sont composées de parties du lot 1 236 387 du cadastre du Québec, dans l'arrondissement de Saint-Laurent, d'une superficie totale de 5,1 m², sans contrepartie monétaire et sujet aux termes et conditions stipulées au projet d'acte. N/Réf. : 31H12-005-0351-05 / Mandat : 11-0111-S",$0 ,Saint-Laurent,DA198295002,28538365,2024-02-15
Acquisition de servitude,Couche-Tard Inc,"Approuver un projet d'acte par lequel Couche-Tard inc. accorde à la Ville de Montréal, une servitude réelle et perpétuelle d'utilités publiques, pour la présence d'une borne-fontaine et d'un feu de circulation, dont l'assiette est composée de deux parties du lot 1 236 861 du cadastre du Québec, circonscription foncière de Montréal, d'une superficie totale de 5,8 mètres carrés, dans l'arrondissement de Saint-Laurent, sans contrepartie monétaire.  / Verser l'assiette de la servitude dans le domaine public. N/Réf. : 31H12-005-0450-02 / Mandat : 11-0113-S.",$0 ,Saint-Laurent,DA218703004,29018692,2024-10-16
Transfert de ruelle,S.O.,"Adopter un règlement intitulé « Règlement sur la fermeture d'une partie de ruelle située au nord-est de la 19e Avenue entre la rue Bélanger et la rue Saint-Zotique Est, dans l'arrondissement Rosemont - La Petite-Patrie, aux fins de transfert aux propriétaires riverains ». N/Réf. : 31H12-005-2166-02  N/D: 14-0293-T",$0 ,Rosemont - La Petite-Patrie,CM24 0918,28985093,2024-09-30
Échange,Entreprises Sylubel inc. et Gestion Vilusa inc.,"Approuver un projet d'acte d'échange par lequel la Ville de Montréal cède à Les Entreprises Sylubel inc. et Gestion Vilusa inc. les lots 6 023 895, 6 040 572, 6 040 573 et 6 040 571 du cadastre du Québec et acquiert les lots 2 375 669, 6 023 897, 6 023 892 et le lot 6 040 570 du cadastre de Québec, ainsi que des servitudes permanentes à des fins d’utilités publiques sur des parties des lots 6 023 893, 6 023 895, 6 040 572 et 6 040 573, le tout avec une soulte en faveur de la Ville au montant de 94 889 $. / Retirer du domaine public les lots cédés et verser les lots acquis dans le domaine public pour fins de rues. N/Réf : 31H12-005-1144-02 - Mandat 16-0494.","$94,889 ",Ahuntsic - Cartierville,CM24 1256,29136032,2024-12-10
Transfert de ruelle,S.O.,"Adopter un règlement intitulé « Règlement sur la fermeture d'une partie de ruelle située au Nord-Est du Boulevard Pie-IX entre les rues Everett et Jean-Talon Est, dans l'arrondissement de Villeray–Saint-Michel–Parc-Extention, aux fins de transfert aux propriétaires riverains ». N/Réf. : 31H12-005-2266-01  N/D: 17-0181-T.",$0 ,Villeray - Saint-Michel - Parc-Extension,CM23 1059,28510913,2024-01-30
Acquisition de gré à gré - sans bâtiment,"Ministère De L'Environnement, De La Lutte Contre Les Changements Climatiques, De La Faune Et Des Parcs","Approuver un projet d'acte par lequel la Ville de Montréal acquiert du ministère de l'Environnement, de la Lutte contre les changements climatiques, de la Faune et des Parcs un terrain appartenant au domaine hydrique de l'État, connu et désigné comme étant le lot 6 328 438 du cadastre du Québec, situé en bordure du fleuve Saint-Laurent, dans l'arrondissement de Rivière-des-Prairies–Pointe-aux-Trembles, pour des fins d'aménagement d'un parc, pour la somme de 702,89 $, plus les taxes applicables, le cas échéant. Réf: 31H11-005-4802-03 /mandat 17-0300-T",$703 ,Rivière-des-Prairies - Pointe-aux-Trembles,CA24 30 04 0085,28866717,2024-07-29
Vente de gré à gré,Fondation De L'Hôpital Lasalle,"Approuver le projet d’acte de vente et de cession par lequel la Ville de Montréal vend à la Fondation de l'Hôpital LaSalle tous ses droits, titres et intérêts qu’elle possède dans deux terrains de stationnement situés en face de l’Hôpital de LaSalle, dans l'arrondissement de LaSalle et désignés comme étant les lots 6 581 695 et 6 581 698 du cadastre du Québec, ayant une superficie de 11 330,2 mètres carrés, pour le prix de vente de 2 790 381,98 $ plus les taxes applicables, et par lequel la Fondation cède à la Ville, sans contrepartie monétaire, tous ses droits, titres et intérêts qu’elle possède, en sa qualité d’emphytéote, dans les lots 6 581 693, 6 581 694, 6 581 696, 6 581 697, 4 817 650, 1 233 657 et 1 234 659 du cadastre du Québec. Ref: 31H05-005-5561-05 Mandat 17-0361-T.","$2,790,382 ",LaSalle,CM24 0146,28636375,2024-04-17
Acquisition de gré à gré - sans bâtiment,Religieuses Hospitalières De Saint-Joseph,"Approuver un projet d'acte de cession par lequel la Ville de Montréal acquiert des Religieuses Hospitalières de Saint-Joseph, deux ruelles inscrites et décrites comme publiques au registre du domaine public, désignées par les lots 2 162 367 et 2 339 882 du cadastre du Québec, d'une superficie totale de 1 333,9 mètres carrés, situées dans l'arrondissement Le Plateau Mont-Royal, sans contrepartie financière. N/Réf. : 31H12-005-0468-09 et 31H12-005-0469-08 / Mandat 17-0395-T",$0 ,Plateau-Mont-Royal,DA244526001,29095790,2024-11-21
Échange,9387-4899 Québec Inc.,"Approuver un acte d'échange de terrains aux fins de déplacer une ruelle, par lequel la Ville s'engage à céder à 9387-4899 Québec inc. un terrain de 237 mètres carrés, en échange d'une cession à la Ville d'un terrain ayant la même superficie, le tout sans soulte de part et d'autre. / Fermer et retirer du domaine public le terrain Ville portant le numéro de lot 1 341 293 au cadastre du Québec et verser dans le domaine public le terrain portant le numéro de lot 6 438 543 au cadastre du Québec. / Autoriser une dépense de 110 722,50 $ pour assumer les coûts des taxes. N.Réf.: 31H12-005-0369-09 / mandat 18-0443-T.",$0 ,Ville-Marie,CM24 0391,29102932,2024-11-26
Acquisition de gré à gré - sans bâtiment,"Panagiota Darla Efraimidis, Samina Rana Et Jamal Rana","Approuver un projet d'acte par lequel la Ville acquiert de Mme Panagiota Darla Efraimidis, Mme Samina Rana et M. Jamal Rana, à des fins de parc, un immeuble vacant d'une superficie de 188,3 m², situé à l'arrière des bâtiments localisés aux 12 040 à 12 210 boulevard Saint-Jean-Baptiste, dans l'arrondissement de Rivière-des-Prairies – Pointe-aux-Trembles, pour un montant de 45 000 $, plus les taxes si applicables./ Verser à toutes fins que de droit dans le domaine public les lots 6 444 298 et 6 444 299 du cadastre du Québec. N/Réf. : 31H12-005-5473-05 / Mandat : 19-0109-T","$45,000 ",Rivière-des-Prairies - Pointe-aux-Trembles,CA24 3004 0086,28667655,2024-05-02
